Provincias;Ramas de actividad;periodo;Total
48 Bizkaia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;32.929.019
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.571.028
09 Burgos;A. Agricultura, ganadería, silvicultura y pesca;2020;478.764
09 Burgos;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;2.703.579
09 Burgos;C. - De las cuales: Industria manufacturera;2020;2.158.189
09 Burgos;F. Construcción;2020;560.582
09 Burgos;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.390.971
09 Burgos;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.678.852
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;1.920.724
09 Burgos;Valor añadido bruto total;2020;8.733.472
09 Burgos;Impuestos netos sobre los productos;2020;837.556
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.571.028
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.201.986
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2020;384.965
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.044.502
10 Cáceres;C. - De las cuales: Industria manufacturera;2020;290.796
10 Cáceres;F. Construcción;2020;579.651
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.081.047
