grupo_edad,origen,sexo,year,total,provincia_id
16-64 años,Extranjeros,Mujeres,2020,9665.0,14
65 y más,Españoles,Hombres,2020,64690.0,14
65 y más,Españoles,Mujeres,2020,86792.0,14
65 y más,Extranjeros,Hombres,2020,451.0,14
65 y más,Extranjeros,Mujeres,2020,533.0,14
0-15 años,Españoles,Hombres,2020,71188.0,15
0-15 años,Españoles,Mujeres,2020,66983.0,15
0-15 años,Extranjeros,Hombres,2020,2874.0,15
0-15 años,Extranjeros,Mujeres,2020,2683.0,15
16-64 años,Españoles,Hombres,2020,328955.0,15
16-64 años,Españoles,Mujeres,2020,335013.0,15
16-64 años,Extranjeros,Hombres,2020,16426.0,15
16-64 años,Extranjeros,Mujeres,2020,18461.0,15
65 y más,Españoles,Hombres,2020,117260.0,15
65 y más,Españoles,Mujeres,2020,159364.0,15
65 y más,Extranjeros,Hombres,2020,1078.0,15
65 y más,Extranjeros,Mujeres,2020,1530.0,15
0-15 años,Españoles,Hombres,2020,10996.0,16
0-15 años,Españoles,Mujeres,2020,10658.0,16
0-15 años,Extranjeros,Hombres,2020,2140.0,16
0-15 años,Extranjeros,Mujeres,2020,2071.0,16
16-64 años,Españoles,Hombres,2020,55917.0,16
16-64 años,Españoles,Mujeres,2020,51410.0,16
16-64 años,Extranjeros,Hombres,2020,8867.0,16
16-64 años,Extranjeros,Mujeres,2020,8511.0,16
65 y más,Españoles,Hombres,2020,20286.0,16
65 y más,Españoles,Mujeres,2020,24741.0,16
65 y más,Extranjeros,Hombres,2020,224.0,16
65 y más,Extranjeros,Mujeres,2020,318.0,16
0-15 años,Españoles,Hombres,2020,51302.0,20
0-15 años,Españoles,Mujeres,2020,48607.0,20
0-15 años,Extranjeros,Hombres,2020,5127.0,20
0-15 años,Extranjeros,Mujeres,2020,4726.0,20
16-64 años,Españoles,Hombres,2020,204684.0,20
16-64 años,Españoles,Mujeres,2020,200937.0,20
16-64 años,Extranjeros,Hombres,2020,24000.0,20
16-64 años,Extranjeros,Mujeres,2020,24520.0,20
65 y más,Españoles,Hombres,2020,69219.0,20
65 y más,Españoles,Mujeres,2020,92087.0,20
65 y más,Extranjeros,Hombres,2020,798.0,20
65 y más,Extranjeros,Mujeres,2020,1114.0,20
0-15 años,Españoles,Hombres,2020,53828.0,17
0-15 años,Españoles,Mujeres,2020,50953.0,17
0-15 años,Extranjeros,Hombres,2020,14334.0,17
0-15 años,Extranjeros,Mujeres,2020,13514.0,17
16-64 años,Españoles,Hombres,2020,196297.0,17
16-64 años,Españoles,Mujeres,2020,190821.0,17
16-64 años,Extranjeros,Hombres,2020,63955.0,17
16-64 años,Extranjeros,Mujeres,2020,57646.0,17
65 y más,Españoles,Hombres,2020,57653.0,17
65 y más,Españoles,Mujeres,2020,71801.0,17
65 y más,Extranjeros,Hombres,2020,5116.0,17
65 y más,Extranjeros,Mujeres,2020,5870.0,17
0-15 años,Españoles,Hombres,2020,70402.0,18
0-15 años,Españoles,Mujeres,2020,66405.0,18
0-15 años,Extranjeros,Hombres,2020,4640.0,18
0-15 años,Extranjeros,Mujeres,2020,4383.0,18
16-64 años,Españoles,Hombres,2020,278728.0,18
16-64 años,Españoles,Mujeres,2020,277335.0,18
16-64 años,Extranjeros,Hombres,2020,26360.0,18
16-64 años,Extranjeros,Mujeres,2020,24384.0,18
65 y más,Españoles,Hombres,2020,69771.0,18
65 y más,Españoles,Mujeres,2020,91372.0,18
65 y más,Extranjeros,Hombres,2020,2694.0,18
65 y más,Extranjeros,Mujeres,2020,2694.0,18
0-15 años,Españoles,Hombres,2020,19939.0,19
0-15 años,Españoles,Mujeres,2020,19001.0,19
0-15 años,Extranjeros,Hombres,2020,3398.0,19
0-15 años,Extranjeros,Mujeres,2020,3092.0,19
16-64 años,Españoles,Hombres,2020,75941.0,19
16-64 años,Españoles,Mujeres,2020,70600.0,19
16-64 años,Extranjeros,Hombres,2020,14086.0,19
16-64 años,Extranjeros,Mujeres,2020,13698.0,19
65 y más,Españoles,Hombres,2020,19006.0,19
65 y más,Españoles,Mujeres,2020,21999.0,19
65 y más,Extranjeros,Hombres,2020,469.0,19
65 y más,Extranjeros,Mujeres,2020,766.0,19
0-15 años,Españoles,Hombres,2020,40738.0,21
0-15 años,Españoles,Mujeres,2020,38263.0,21
0-15 años,Extranjeros,Hombres,2020,3348.0,21
0-15 años,Extranjeros,Mujeres,2020,3061.0,21
16-64 años,Españoles,Hombres,2020,157764.0,21
16-64 años,Españoles,Mujeres,2020,153541.0,21
16-64 años,Extranjeros,Hombres,2020,18557.0,21
16-64 años,Extranjeros,Mujeres,2020,20653.0,21
65 y más,Españoles,Hombres,2020,38161.0,21
65 y más,Españoles,Mujeres,2020,48431.0,21
65 y más,Extranjeros,Hombres,2020,928.0,21
65 y más,Extranjeros,Mujeres,2020,833.0,21
0-15 años,Españoles,Hombres,2020,14036.0,22
0-15 años,Españoles,Mujeres,2020,13550.0,22
0-15 años,Extranjeros,Hombres,2020,2475.0,22
0-15 años,Extranjeros,Mujeres,2020,2111.0,22
16-64 años,Españoles,Hombres,2020,61476.0,22
16-64 años,Españoles,Mujeres,2020,56638.0,22
16-64 años,Extranjeros,Hombres,2020,11895.0,22
16-64 años,Extranjeros,Mujeres,2020,10550.0,22
65 y más,Españoles,Hombres,2020,22248.0,22
65 y más,Españoles,Mujeres,2020,26914.0,22
65 y más,Extranjeros,Hombres,2020,349.0,22
65 y más,Extranjeros,Mujeres,2020,445.0,22
0-15 años,Españoles,Hombres,2020,46775.0,23
0-15 años,Españoles,Mujeres,2020,44371.0,23
0-15 años,Extranjeros,Hombres,2020,1187.0,23
0-15 años,Extranjeros,Mujeres,2020,1109.0,23
16-64 años,Españoles,Hombres,2020,203969.0,23
