categories,year,total,provincia_id,region_id
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,31242312.0,08,9
Valor añadido bruto total,2020,146163042.0,08,9
Impuestos netos sobre los productos,2020,14017302.0,08,9
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,160180344.0,08,9
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,32929019.0,48,10
"A. Agricultura, ganadería, silvicultura y pesca",2020,73997.0,48,10
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,5610559.0,48,10
C. - De las cuales: Industria manufacturera,2020,4163901.0,48,10
F. Construcción,2020,2501960.0,48,10
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,6701292.0,48,10
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,8114266.0,48,10
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,7045343.0,48,10
Valor añadido bruto total,2020,30047417.0,48,10
Impuestos netos sobre los productos,2020,2881602.0,48,10
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,32929019.0,48,10
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9571028.0,09,8
"A. Agricultura, ganadería, silvicultura y pesca",2020,478764.0,09,8
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2703579.0,09,8
C. - De las cuales: Industria manufacturera,2020,2158189.0,09,8
F. Construcción,2020,560582.0,09,8
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1390971.0,09,8
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1678852.0,09,8
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,1920724.0,09,8
Valor añadido bruto total,2020,8733472.0,09,8
Impuestos netos sobre los productos,2020,837556.0,09,8
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9571028.0,09,8
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7201986.0,10,16
"A. Agricultura, ganadería, silvicultura y pesca",2020,384965.0,10,16
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1044502.0,10,16
C. - De las cuales: Industria manufacturera,2020,290796.0,10,16
F. Construcción,2020,579651.0,10,16
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1081047.0,10,16
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1362215.0,10,16
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2119364.0,10,16
Valor añadido bruto total,2020,6571744.0,10,16
Impuestos netos sobre los productos,2020,630242.0,10,16
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7201986.0,10,16
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20253717.0,11,4
"A. Agricultura, ganadería, silvicultura y pesca",2020,517282.0,11,4
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2230039.0,11,4
C. - De las cuales: Industria manufacturera,2020,1325381.0,11,4
F. Construcción,2020,1285220.0,11,4
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3915656.0,11,4
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4504009.0,11,4
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,6029118.0,11,4
Valor añadido bruto total,2020,18481324.0,11,4
Impuestos netos sobre los productos,2020,1772393.0,11,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20253717.0,11,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12852323.0,39,6
"A. Agricultura, ganadería, silvicultura y pesca",2020,155059.0,39,6
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2479943.0,39,6
C. - De las cuales: Industria manufacturera,2020,2001452.0,39,6
F. Construcción,2020,810175.0,39,6
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2319072.0,39,6
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2940643.0,39,6
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3022731.0,39,6
Valor añadido bruto total,2020,11727623.0,39,6
Impuestos netos sobre los productos,2020,1124700.0,39,6
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12852323.0,39,6
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14226621.0,12,15
"A. Agricultura, ganadería, silvicultura y pesca",2020,394736.0,12,15
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,4312375.0,12,15
C. - De las cuales: Industria manufacturera,2020,3975218.0,12,15
F. Construcción,2020,749752.0,12,15
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2492836.0,12,15
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2600229.0,12,15
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2431729.0,12,15
Valor añadido bruto total,2020,12981657.0,12,15
Impuestos netos sobre los productos,2020,1244964.0,12,15
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14226621.0,12,15
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9995769.0,13,7
"A. Agricultura, ganadería, silvicultura y pesca",2020,1067394.0,13,7
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1425229.0,13,7
C. - De las cuales: Industria manufacturera,2020,1184306.0,13,7
F. Construcción,2020,635088.0,13,7
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1764264.0,13,7
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1655507.0,13,7
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2573562.0,13,7
Valor añadido bruto total,2020,9121044.0,13,7
Impuestos netos sobre los productos,2020,874725.0,13,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9995769.0,13,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13007297.0,14,4
"A. Agricultura, ganadería, silvicultura y pesca",2020,1135706.0,14,4
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1269133.0,14,4
C. - De las cuales: Industria manufacturera,2020,1011867.0,14,4
F. Construcción,2020,689441.0,14,4
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2262007.0,14,4
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2665513.0,14,4
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3847235.0,14,4
Valor añadido bruto total,2020,11869035.0,14,4
Impuestos netos sobre los productos,2020,1138262.0,14,4
